FECHA_RESPUESTA_ENCUESTA;COD_LOCAL;NOMBRE_LOCAL;CANTIDAD_ENCUESTAS;NPS;CANTIDAD_NPS;EXPERIENCIA;CANTIDAD_EXPERIENCIA;AMABILIDAD;CANTIDAD_AMABILIDAD;TIEMPO_ESPERA;CANTIDAD_TIEMPO_ESPERA;RAPIDEZ;CANTIDAD_RAPIDEZ;CALIDAD;CANTIDAD_CALIDAD;BANOS;CANTIDAD_BANOS
2021-07-03;2047;PRONTO BARRA CHILLÁN;4;3;4;15;4;13;4;13;4;8;2;6;2;8;1
2021-07-03;2047;PRONTO BARRA CHILLÁN;1;1;1;7;1;7;1;6;1;20;0;;0;;0
2021-07-04;2047;PRONTO BARRA CHILLÁN;2;0;2;11;2;12;2;11;2;;0;;0;7;1
2021-07-05;2047;PRONTO BARRA CHILLÁN;3;3;3;21;3;20;3;21;3;20;3;21;3;14;2
2021-07-06;2047;PRONTO BARRA CHILLÁN;1;-1;1;5;1;6;1;5;1;3;1;3;1;4;1
